Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.Decode.Persons.Hermes,45604575000,4137396578,121553446,55640469,160432128
All.Decode.Persons.Aeson,135784600000,9435983258,357269946,188159609,273678336
All.Decode.Persons (Aeson Value).Hermes,108284075000,5724445824,293956167,134278262,273678336
All.Decode.Persons (Aeson Value).Aeson,121856250000,8402584442,286355331,174336922,273678336
